id,sentence1,sentence2,label,similarity,similarity_percentage,plagiarism_status
1,"This was a series of nested angular standards , so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic .","This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .",0,0.5040758947990576,50.40758947990576,Not Plagiarized
2,His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .",0,0.7297273805759764,72.97273805759764,Possible Plagiarism
3,"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .","In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .",1,0.7084523503033548,70.84523503033549,Possible Plagiarism
4,"Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .","Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .",0,0.42566890287335857,42.56689028733586,Not Plagiarized
5,"Luciano Williames Dias ( born July 25 , 1970 ) is a Brazilian football coach and former player .",Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,0,0.5586177528223197,55.861775282231974,Not Plagiarized
6,"During her sophomore , junior and senior summers , she spent half of it with her Alaska team , and half playing , and living in Oregon .","During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .",1,0.8534112446970983,85.34112446970983,Possible Plagiarism
7,The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .,The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,0,0.4646241881946847,46.46241881946847,Not Plagiarized
8,"His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .",His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,1,1.0000000000000009,100.00000000000009,Possible Plagiarism
9,"The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .","The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .",0,0.5031026124151315,50.31026124151315,Not Plagiarized
10,It is situated south of Köroğlu Mountains and to the north of Bolu .,It is situated south of Köroğlu - mountains and north of the Bolu .,1,1.0000000000000002,100.00000000000003,Possible Plagiarism
11,The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region .,The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,1,0.4595054219368084,45.95054219368084,Not Plagiarized
12,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '' , and as Onoda in AMC `` Hell On Wheels '' .",He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,0,0.5586177528223197,55.861775282231974,Not Plagiarized
13,"The spectral levels of light that can be measured by plants for photosynthesis is similar to , but not the same as what 's used by lumens .","The spectral light levels that can be measured by plants for photosynthesis are similar , but not the same as what is used by lumens .",1,0.7025997416361692,70.25997416361692,Possible Plagiarism
14,The Sunset Sunset Road comes from right and becomes Briscoe Mountain Road .,Sunset Road comes in from the right and becomes Briscoe Mountain Road .,1,0.9243306373527765,92.43306373527766,Possible Plagiarism
15,"To get there , take the Marine Drive from the Lions Gate Bridge to the West , past Lighthouse Park , Horseshoe Bay and then further on to the 7100 Marine Drive block .","To get there , take Marine Drive west from the Lions Gate Bridge past Horseshoe Bay to Lighthouse Park and then continue on to 7100 Block Marine Drive .",0,0.6035623793922051,60.35623793922051,Not Plagiarized
16,"Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale , Inverallan and Advie '' in Morayshire in Scotland .","Inverallan is one of the parishes that formed the civil ( later ecclesiastical ) parish of Cromdale , Inverallan and Advie in Morayshire , Scotland .",0,0.7266101926384432,72.66101926384432,Possible Plagiarism
17,Mr. Thuso Nokwanda Mbedu was born in Pietermaritzburg as Thuso Mbebu .,Thuso Nokwanda Mbedu was born Thuso Mbebu in Pietermaritzburg .,1,0.6906579940599964,69.06579940599964,Not Plagiarized
18,"For ideal gases , the molar volume is given by the ideal gas equation , a good approximation for many usual gases at standard temperature and pressure .","For ideal gases the molar volume is given by the standard gas equation , a good approximation for many common gases at ideal temperature and pressure .",0,0.6528181311565416,65.28181311565416,Not Plagiarized
19,John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut .,John Barrow Island is a member of the Canadian Arctic Archipelago and the Queen Elizabeth Islands in the Nunavut area .,0,0.6457014380775987,64.57014380775988,Not Plagiarized
20,It was chosen as the 19th best movie at the 7th Yokohama Film Festival .,It was chosen as the 7th best film at the 19th Yokohama Film Festival .,0,0.46820462295553056,46.82046229555306,Not Plagiarized
21,"Christopher Griffiths ( born Christopher Llewellyn ) is an actor , best known for his role as Logan in the 2002 film `` Where Were We ... '' .",Christopher Llewellyn ( born Christopher Griffiths ) is an actor known for his role as Logan in the film 'Where Were We ... `` ' from the year 2002 .,0,0.5655517669836122,56.55517669836122,Not Plagiarized
22,"Netanya is located on the Israeli Mediterranean Coastal Plain , the historic land bridge between Europe , Africa , and Asia .","Netanya is located on the Israeli Mediterranean coast , the historic land bridge between Europe , Africa and Asia .",1,0.6969748576602278,69.69748576602278,Not Plagiarized
23,Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus .,Megasaurus is owned by Rick and Sheri Dorritie and Transaurus is owned by Mike West .,1,0.8114301161975616,81.14301161975615,Possible Plagiarism
24,All five events started the last day and concluded with the final on the first day .,All five events started on the last day and concluded with the final on the first day .,1,1.0000000000000004,100.00000000000004,Possible Plagiarism
25,"In January 2011 , FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue .","In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .",0,0.7084523503033548,70.84523503033549,Possible Plagiarism
26,The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic .,The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,0,0.5798368146016488,57.98368146016488,Not Plagiarized
